TARGET_FID_12,GEOID_D,FIPS,Proportion of POC,Median Household Income,Proportion Unemployed,Total Population,Proportion Male,Proportion Female,Proportion Did Not Work,Proportion of Renters,Average Household Size,FREQSEP20D,FREQAUG19D,FREQPAND_1,PCT_Change_SEP,PCT_Change_AUG
157,14000US08005082700,8005082700,0.330049261,86694,0.266179541,3654,0.522714833,0.477285167,0.195546277,0.106034483,3.15,6,8,7,-14.29,14.29
158,14000US08005086800,8005086800,0.55732138,59416,0.326343818,7362,0.510866612,0.489133388,0.210850391,0.652488973,2.32,13,15,13,0,15.38
159,14000US08005086400,8005086400,0.111961722,168281,0.244145199,2090,0.514832536,0.485167464,0.285714286,0.053867403,2.89,0,1,0,0,0
160,14000US08005006855,8005006855,0.269645609,125234,0.270951036,5841,0.509673001,0.490326999,0.218455744,0.19006589,2.95,4,2,3,33.33,-33.33
161,14000US08005082800,8005082800,0.388446622,66069,0.190933728,4899,0.50806287,0.49193713,0.270756344,0.244456463,2.65,11,14,12,-8.33,16.67
162,14000US08005083500,8005083500,0.484805318,62245,0.278859955,6318,0.465653688,0.534346312,0.22739389,0.459534884,2.94,6,9,7,-14.29,28.57
163,14000US08005083300,8005083300,0.249889527,84464,0.227586207,4526,0.521210782,0.478789218,0.250397878,0.131843575,2.53,3,4,3,0,33.33
164,14000US08005006603,8005006603,0.114724481,82586,0.260614934,3321,0.491418248,0.508581752,0.292825769,0.314932767,2.34,3,6,4,-25,50
165,14000US08005006604,8005006604,0.129764265,47127,0.245050829,4539,0.480722626,0.519277374,0.235687533,0.588848359,2.36,6,10,7,-14.29,42.86
166,14000US08005006704,8005006704,0.043363995,250001,0.221244131,4566,0.492115637,0.507884363,0.377934272,0.013815789,3,3,6,4,-25,50
167,14000US08005006705,8005006705,0.030973451,250001,0.267019167,2034,0.477384464,0.522615536,0.389292796,0.128325509,3.18,1,4,1,0,300
168,14000US08005006706,8005006706,0.128489408,97435,0.228981723,5051,0.45357355,0.54642645,0.260313316,0.240275726,2.49,2,2,2,0,0
169,14000US08005006707,8005006707,0.118831043,103629,0.216864551,5167,0.545771241,0.454228759,0.234068331,0.247334755,2.73,1,2,1,0,100
170,14000US08005006708,8005006708,0.091438556,112467,0.229862475,5151,0.499902931,0.500097069,0.242632613,0.171788413,2.59,0,0,0,0,0
171,14000US08005006709,8005006709,0.067327866,123482,0.265970367,5243,0.500286096,0.499713904,0.257954821,0.140668524,2.43,8,11,9,-11.11,22.22
172,14000US08059009849,8059009849,0.090364629,64855,0.336407462,5677,0.534261053,0.465738947,0.268077971,0.309657861,2.34,0,0,0,0,0
