"","stops.stop_name","stops.stop_id","stops.stop_lat","stops.stop_lon","freq"
"348","30th Ave & Uvalda St",10820,39.757254,-104.833747,115
"349","W 38th Ave & Alcott St",10967,39.769202,-105.017733,102
"350","W 38th Ave & Depew St",10980,39.769263,-105.057317,102
"351","W 58th Ave & Quail St",11440,39.80188,-105.123814,74
"352","W 64th Ave & Union St",11507,39.81262,-105.132383,20
"353","W 72nd Ave & Depew St",11659,39.826659,-105.058534,20
"354","S Broadway & Kenyon Ave",12546,39.650045,-104.987534,104
"355","S Buckley Rd & Princeton Dr",12647,39.640952,-104.791271,98
"356","Colfax Ave & Hudson St",12900,39.740238,-104.923931,239
"357","Colfax Ave & Idalia Ct",12901,39.739991,-104.805713,114
"358","S Downing St & Colorado Ave",13395,39.684241,-104.973297,111
"359","Downing St & Speer Blvd",13426,39.719385,-104.973181,111
"360","W Evans Ave & S Depew St",13576,39.679097,-105.056929,74
"361","W Evans Ave & S Patton Ct",13616,39.679205,-105.038611,74
"362","Hwy 93 & Milepost 9",14507,39.884891,-105.241218,4
"363","Iris Ave & Broadway",14596,40.036337,-105.281064,22
"364","S Irving St & W Walsh Pl",14622,39.703398,-105.029872,63
"365","Jackson St & 24th St",14630,39.745858,-105.208869,99
"366","Jay Rd & Juhls Dr",14650,40.05108,-105.221972,80
"367","Kipling St & W 51st Pl",14828,39.790486,-105.1093,26
"368","Mountain View Ave & Stuart St",15648,40.181389,-105.128868,22
"369","Pecos St & W 76th Ave",15849,39.833466,-105.006261,51
"370","Peoria St & 25th Ave",15898,39.752943,-104.84704,143
"371","S Sable Blvd & Mississippi Ave",16402,39.697008,-104.819068,210
"372","Tejon St & W 41st Ave",16717,39.772702,-105.011288,58
"373","Tulsa Ct & Elk Pl",16769,39.782264,-104.840634,123
"374","S Yosemite St & Mansfield Ave",17443,39.644393,-104.885192,97
"375","S Main St & Quebec Ave",17634,40.141658,-105.102324,18
"376","Broadway & 4th Ave",17773,39.722192,-104.987628,211
"377","S Public Rd & W Chester St",17873,39.995447,-105.090518,144
"378","W 120th Ave & Pecos St",18050,39.913764,-105.005348,45
"379","Yale Ave & S Quebec St",19305,39.667683,-104.904123,52
"380","Florida Ave & S Quebec St",19488,39.689284,-104.903061,14
"381","63rd St & Nautilus Dr",19809,40.061588,-105.206756,78
"382","S Parker Rd & S Lansing Way",19910,39.663447,-104.858114,114
"383","S Buckley Rd & Iliff Ave",20247,39.67416,-104.790864,166
"384","7800 Block Iliff Ave",20444,39.674667,-104.895119,104
"385","US 287 & Miramonte Blvd",20537,39.934779,-105.090962,18
"386","South Boulder Rd & S 55th St",20717,39.985986,-105.224097,74
"387","W 88th Ave & Lipan St",20763,39.85638,-105.001393,50
"388","56th Ave & Quebec St",22090,39.798538,-104.904122,73
"389","Curtis St & 18th St",22700,39.748868,-104.992565,84
"390","Arapahoe Rd & Yarrow St",23004,40.014619,-105.122161,77
"391","Cedar Ave & S Lincoln St",23208,39.713009,-104.986864,19
"392","17th Ave & Collyer St",23326,40.188469,-105.097049,22
"393","S Tower Rd & Iliff Ave",23809,39.676866,-104.772606,108
"394","Amherst Ave & S Tower Rd",23812,39.665519,-104.771295,108
"395","S Buckley Rd & Yale Ave",23835,39.667867,-104.790882,166
"396","West Coal Mine Ave & South Van Gordon Way",24574,39.601404,-105.137811,28
"397","Clover Basin Dr & S Hover St",25608,40.1442,-105.131927,33
"398","S Parker Rd & Orchard Rd",25738,39.609719,-104.810454,115
"399","Park Meadows Dr & S Quebec St",25881,39.561373,-104.901018,43
"400","Wal-Mart @ Salida St & Tower Rd",26020,39.763702,-104.774848,312
"401","W 120th Ave & Perry St",26235,39.914286,-105.039759,45
"402","W Grant Ranch Blvd & W Dorado Dr W",33415,39.61684,-105.071399,38
"403","120th Ave & US 85",33630,39.914206,-104.858405,36
"404","S Santa Fe Dr & Blakeland Dr",34394,39.560545,-105.036564,43
"405","Green Valley Ranch Blvd & Tower Rd",34877,39.783567,-104.771601,126
"406","Holly St & Smith Rd",34888,39.773872,-104.922419,76
